instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
EuropeAsia_pid_824_4_best_high,Gurobi,no_choice,0.35,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,NN_models_inpath/EuropeAsia_pid_824_4_best_high_dynamic.csv.bson,-1.0765325113333333e8,0.5680999994277954,0.499399995803833,3.2933000326156616,4.423900008201599,1260.0,0.0,34930.0,12.0,"(0.47865603780810595, 0.6575439610474849)","(0.43699720209223725, 0.5618027895154287)","(3.2758619026628875, 3.310738162568436)","(4.339140719322615, 4.508659297080583)","(1260.0, 1260.0)","(0.0, 0.0)","(34930.0, 34930.0)","(12.0, 12.0)",5.0,-7.624531e7,"(0.027499985694885255, 0.033100032806396486, 0.037900018692016604, 0.020800018310546876, 0.025, 0.05749998092651367, 0.069100022315979, 0.049300003051757815, 0.10619997978210449, 0.04849998950958252, 0.04719998836517334, 0.045999979972839354)","(0.05050003528594971, 0.053399968147277835, 0.06780004501342773, 0.007499957084655761, 0.001100015640258789, 0.11549994945526124, 0.1689000129699707, 0.03100001811981201, 0.0021999835968017577, 0.0015000104904174805, 0.0)","(0.01679999828338623, 0.07539999485015869, 0.4519000291824341, 0.1922999858856201, 0.05560002326965332, 0.03880000114440918, 1.0121999979019165, 0.8217000007629395, 0.3865999698638916, 0.15260004997253418, 0.05829999446868896, 0.031099987030029298)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(6515.0, 5752.0, 4949.0, 332.0, 93.0, 8190.0, 7557.0, 1348.0, 146.0, 44.0, 4.0)","(7.6619e7, -4.8872883e7, -7.546718824999999e7, -7.6196943e7, -7.624531e7, -7.6249835e7, -1.03890263e8, -1.0747631799999997e8, -1.0764170875e8, -1.0765246991666666e8, -1.076532316333333e8, -1.0765325113333333e8)","(0.05799996852874756, 0.18409998416900636, 0.7242000102996826, 1.035800004005432, 1.123200011253357, 1.1927999973297119, 2.380399966239929, 3.44210000038147, 3.90939998626709, 4.177100014686585, 4.287800002098083, 4.3734999895095825)"
EuropeAsia_pid_26674_12,Gurobi,no_choice,0.4,NN_models_inpath/EuropeAsia_pid_26674_12_static.csv.bson,NN_models_inpath/EuropeAsia_pid_26674_12_dynamic.csv.bson,-1.0153749771703447e8,0.4562000036239624,0.2859999656677246,1.423699951171875,2.2212000131607055,1248.0,0.0,26439.0,12.0,"(0.3761703039249864, 0.5362297033229384)","(0.25374804583139265, 0.3182518855040566)","(1.4096047914257501, 1.437795110918)","(2.16082133720102, 2.281578689120391)","(1248.0, 1248.0)","(0.0, 0.0)","(26439.0, 26439.0)","(12.0, 12.0)",5.0,-7.7075235e7,"(0.01849994659423828, 0.029399967193603514, 0.04680001735687256, 0.018299961090087892, 0.024300050735473634, 0.03450002670288086, 0.036600041389465335, 0.03339998722076416, 0.03379998207092285, 0.07689998149871827, 0.051200032234191895, 0.052500009536743164)","(0.03449997901916504, 0.03329999446868896, 0.07199997901916504, 0.0028000116348266602, 0.0019000053405761718, 0.07059996128082276, 0.05229997634887695, 0.0064000368118286135, 0.012100005149841308, 0.0, 0.00010001659393310547)","(0.014299988746643066, 0.09680006504058838, 0.19660003185272218, 0.13580000400543213, 0.07449996471405029, 0.041499924659729, 0.35209996700286866, 0.17130000591278077, 0.1430999755859375, 0.13750004768371582, 0.03960001468658447, 0.020599961280822754)","(104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(5541.0, 3860.0, 6061.0, 423.0, 152.0, 5266.0, 3571.0, 944.0, 606.0, 12.0, 3.0)","(7.6436e7, -4.3410788e7, -7.3269711e7, -7.6910947e7, -7.7075235e7, -7.7084139e7, -9.851208046096589e7, -1.0117622206924401e8, -1.0145934455645117e8, -1.0153724086849271e8, -1.0153749271703444e8, -1.0153749771703447e8)","(0.04239997863769531, 0.17370002269744872, 0.43490002155303953, 0.6955000162124634, 0.7928999662399292, 0.8613999605178833, 1.3353999614715577, 1.5976000070571899, 1.7874000072479248, 1.9724000215530395, 2.0904000043869018, 2.1628000020980833)"
EuropeAsia_pid_26999_11_low_best,Gurobi,no_choice,0.4,NN_models_inpath/EuropeAsia_pid_26999_11_low_best_static.csv.bson,NN_models_inpath/EuropeAsia_pid_26999_11_low_best_dynamic.csv.bson,-8.41532645e7,0.2989999294281006,0.17110004425048828,1.1836999177932739,1.7050999879837037,1056.0,0.0,18730.0,11.0,"(0.25288792217331696, 0.34511193668288426)","(0.15842645217673665, 0.1837736363242399)","(1.1653715112327476, 1.2020283243538001)","(1.6706199572688651, 1.7395800186985422)","(1056.0, 1056.0)","(0.0, 0.0)","(18730.0, 18730.0)","(11.0, 11.0)",5.0,-7.06342263333333e7,"(0.024600005149841307, 0.021399974822998047, 0.01730003356933594, 0.015399980545043945, 0.020999979972839356, 0.03929998874664307, 0.030499982833862304, 0.03490004539489746, 0.017399978637695313, 0.021199965476989747, 0.0559999942779541)","(0.041999983787536624, 0.03880000114440918, 0.02650003433227539, 0.0023999929428100584, 0.00010001659393310547, 0.04200000762939453, 0.014299988746643066, 0.003600001335144043, 0.001100015640258789, 0.0003000020980834961)","(0.014899969100952148, 0.14220004081726073, 0.2850999355316162, 0.15420000553131102, 0.04509999752044678, 0.017399978637695313, 0.31720001697540284, 0.11819999217987061, 0.037999963760375975, 0.03409998416900635, 0.01730003356933594)","(96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(6609.0, 4241.0, 2122.0, 135.0, 11.0, 4389.0, 1075.0, 99.0, 46.0, 3.0)","(7.5163e7, -4.7183855e7, -6.96728235e7, -7.0607001e7, -7.06342263333333e7, -7.063590199999999e7, -8.39857174e7, -8.41459855e7, -8.4153132e7, -8.41532585e7, -8.41532645e7)","(0.050499987602233884, 0.23480002880096434, 0.5847999811172485, 0.7850000381469726, 0.8496000051498414, 0.8941999912261963, 1.2990000247955322, 1.4636000156402589, 1.5502000093460082, 1.6044999837875367, 1.6442000150680542)"
